Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",-303295,6798973,1.632858718279966e-12,-3.802403845699305,Herefordshire,Herefordshire,Aconbury
2,"Bach Camp, Herefordshire",-296646,6843289,1.5401719213070633e-12,-3.8024501849682437,Herefordshire,Herefordshire,Kimbolton
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",-289837,6808611,1.547728600458994e-12,-3.802446331152215,Herefordshire,Herefordshire,Dormington
4,"Brandon Camp, Herefordshire",-320850,6862993,1.670548018493187e-12,-3.802385556697678,Herefordshire,Herefordshire,Adforton
5,"British Camp, Herefordshire (Herefordshire Beacon)",-261765,6810587,1.3699808698777088e-12,-3.802540924219988,Herefordshire,Herefordshire,Colwall
6,"Broad Oak, Garway, Herefordshire",-313968,6784935,1.6820997302514655e-12,-3.802380012100162,Herefordshire,Herefordshire,Garway
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",-288784,6798862,1.5506836337807265e-12,-3.802444827893093,Herefordshire,Herefordshire,Brockhampton (Ross on Wye)
8,"Chase Wood Camp, Herefordshire",-287166,6781819,1.5511505667770424e-12,-3.802444590552218,Herefordshire,Herefordshire,Ross Rural
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",-291344,6802601,1.5626524127628096e-12,-3.8024387607509516,Herefordshire,Herefordshire,Fownhope
10,"Coxall Knoll Camp, Herefordshire",-326426,6864561,1.702188143129015e-12,-3.8023704365422972,Herefordshire,Herefordshire,Buckton and Coxall
11,"Credenhill Camp, Herefordshire",-312013,6817677,1.6754178135612779e-12,-3.802383215855103,Herefordshire,Herefordshire,Credenhill
12,"Croft Ambrey, Herefordshire",-313557,6853909,1.6404074593983464e-12,-3.8024001578807254,Herefordshire,Herefordshire,Aymestry
13,"Dinedor Camp, Herefordshire (Oyster Hill)",-300088,6804371,1.612818277397497e-12,-3.8024136974942446,Herefordshire,Herefordshire,Dinedor
14,"Dinmore Hill, Herefordshire",-300916,6829695,1.593660566050535e-12,-3.802423200078632,Herefordshire,Herefordshire,Hope under Dinmore
15,"Dorstone Hill, Herefordshire",-332091,6813456,1.7788728360732848e-12,-3.802334631670723,Herefordshire,Herefordshire,Dorstone
16,"Downton Camp, Herefordshire",-316157,6864196,1.6362995970204477e-12,-3.8024021631567733,Herefordshire,Herefordshire,Downton
17,"Eaton Camp, Herefordshire",-311431,6809054,1.6755135249213431e-12,-3.802383169898277,Herefordshire,Herefordshire,Eaton Bishop
18,"Gaer Cop, Herefordshire",-297866,6786282,1.6052862573517557e-12,-3.802417423538754,Herefordshire,Herefordshire,Hentland
19,"Garmsley Camp, Worcestershire (The Wrathes)",-284699,6846062,1.4444680804402038e-12,-3.802500243011962,Worcestershire,Herefordshire,Stoke Bliss
20,"Haffield Camp, Herefordshire",-267685,6800697,1.4245186309214923e-12,-3.802510983839466,Herefordshire,Herefordshire,Donnington
21,"Ivington Camp, Herefordshire",-306747,6834188,1.6266484851088205e-12,-3.8024068890459173,Herefordshire,Herefordshire,Leominster
22,"Little Doward, Herefordshire",-297285,6771364,1.5984360717138353e-12,-3.8024208234918375,Herefordshire,Herefordshire,Ganarew
23,"Mere Hill, Herefordshire (Mere Hill Wood)",-319653,6851793,1.6846781582021745e-12,-3.8023787783390506,Herefordshire,Herefordshire,Aymestry
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",-261582,6806356,1.3779616359712667e-12,-3.8025364886534367,Herefordshire,Herefordshire,Eastnor
25,"Oldbury, Much Marcle, Herefordshire",-282447,6798363,1.514214798617046e-12,-3.802463529906528,Herefordshire,Herefordshire,Much Marcle
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",-348296,6823631,1.8436371899541132e-12,-3.8023052685823697,Herefordshire,Herefordshire,Brilley
27,"Penapark, Herefordshire (Pen y Park)",-322631,6786845,1.7208718268064152e-12,-3.802361605066455,Herefordshire,Herefordshire,Peterchurch
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",-326816,6806185,1.7528515141599528e-12,-3.8023466514546103,Herefordshire,Herefordshire,Vowchurch
29,"Pyon Wood, Herefordshire",-316977,6853215,1.6647750406263886e-12,-3.802388338213333,Herefordshire,Herefordshire,Aymestrey
30,"Risbury Camp, Herefordshire",-297387,6835278,1.5605434967526797e-12,-3.802439827297734,Herefordshire,Herefordshire,Humber
31,"Sutton Walls, Herefordshire",-299984,6820666,1.5988396554892252e-12,-3.8024206228836,Herefordshire,Herefordshire,Sutton
32,"Timberline, Herefordshire (Timberline Camp)",-322143,6804872,1.7306595605724987e-12,-3.8023570067495345,Herefordshire,Herefordshire,Madley
33,"Uphampton Camp, Herefordshire",-292865,6840226,1.5186629115709067e-12,-3.8024612311554495,Herefordshire,Herefordshire,Docklow and Hampton Wafer
